model,accuracy,precision,recall,f1,auroc,auprc,true_negatives,false_positives,false_negatives,true_positives
TabNet,0.7,0.6428571428571429,0.6206896551724138,0.631578947368421,0.7729184188393607,0.7645372703138245,31,10,11,18
Bi-LSTM,0.7285714285714285,0.6923076923076923,0.6206896551724138,0.6545454545454545,0.7905803195962995,0.7373029638520954,33,8,11,18
CNN-1D,0.7142857142857143,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.7603027754415475,0.6961426973086007,31,10,10,19
Adaptive Ensemble,0.7142857142857143,0.6451612903225806,0.6896551724137931,0.6666666666666666,0.8107653490328006,0.7953470191121605,30,11,9,20
Logistic Baseline,0.6857142857142857,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.7863751051303616,0.6891752637816525,29,12,10,19
